uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q5438718,Fawaz Gerges,1958,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,research university | private university | Colonial Colleges | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q5438718,Fawaz Gerges,1958,employment,http://www.wikidata.org/entity/Q174570,London School of Economics and Political Science,3,public research university | higher education institution | educational organization,1941-1960
http://www.wikidata.org/entity/Q5443535,Fenner Brockway,1888,membership,http://www.wikidata.org/entity/Q6926627,Liberation,1,organization,1851-1900
http://www.wikidata.org/entity/Q5443535,Fenner Brockway,1888,membership,http://www.wikidata.org/entity/Q16867362,No Conscription Fellowship,1,pacifist organisation,1851-1900
http://www.wikidata.org/entity/Q5478586,Frances Crowe,1919,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1901-1920
http://www.wikidata.org/entity/Q5495963,Fred Moore,1942,membership,http://www.wikidata.org/entity/Q1195191,Homebrew Computer Club,1,organization,1941-1960
http://www.wikidata.org/entity/Q5512483,G. Simon Harak,1948,employment,http://www.wikidata.org/entity/Q188370,Marquette University,2,private not-for-profit educational institution | university,1941-1960
http://www.wikidata.org/entity/Q5528807,Gayle McLaughlin,1952,membership,http://www.wikidata.org/entity/Q5152992,Committee in Solidarity with the People of El Salvador,2,501(c)(4) organization | political organization,1941-1960
http://www.wikidata.org/entity/Q5528807,Gayle McLaughlin,1952,membership,http://www.wikidata.org/entity/Q7330949,Richmond Progressive Alliance,1,political organization,1941-1960
http://www.wikidata.org/entity/Q555621,John Arden,1930,membership,http://www.wikidata.org/entity/Q1468277,Royal Society of Literature,2,national academy | learned society,1921-1940
http://www.wikidata.org/entity/Q555621,John Arden,1930,membership,http://www.wikidata.org/entity/Q201947,Aosdána,2,voluntary association | online database,1921-1940
http://www.wikidata.org/entity/Q5591018,Grace Carlson,1906,employment,http://www.wikidata.org/entity/Q238101,University of Minnesota,5,public research university | production company | public educational institution of the United States | open-access publisher | land-grant university,1901-1920
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q7899477,Upward Bound,1,organization,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q941855,University of Illinois at Springfield,2,public educational institution of the United States | university,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q1472474,Southern Illinois University,1,state university system,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q6781811,Maryville University,2,private not-for-profit educational institution | university,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q309331,Ohio State University,3,public research university | public educational institution of the United States | land-grant university,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q777403,Washington University in St. Louis,2,private not-for-profit educational institution | university,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q7589715,St. Louis University High School,1,high school,1921-1940
http://www.wikidata.org/entity/Q55997113,John Knoepfle,1923,employment,http://www.wikidata.org/entity/Q734774,Saint Louis University,3,private not-for-profit educational institution | building | university,1921-1940
http://www.wikidata.org/entity/Q55999,Felix Moscheles,1833,membership,http://www.wikidata.org/entity/Q3833037,Esperanto Language Committee,1,Esperanto language institute,1801-1850
http://www.wikidata.org/entity/Q5628577,H. Stuart Hughes,1916,employment,http://www.wikidata.org/entity/Q49114,Brown University,5,research university | private university | Colonial Colleges | academic publisher | private not-for-profit educational institution,1901-1920
http://www.wikidata.org/entity/Q5628577,H. Stuart Hughes,1916,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,research university | private university | Colonial Colleges | private not-for-profit educational institution,1901-1920
http://www.wikidata.org/entity/Q5628577,H. Stuart Hughes,1916,employment,http://www.wikidata.org/entity/Q41506,Stanford University,4,research university | private university | private not-for-profit educational institution | open-access publisher,1901-1920
http://www.wikidata.org/entity/Q571649,Rush Holt Sr.,1905,employment,http://www.wikidata.org/entity/Q7404130,Salem University,2,private for-profit educational institution | university,1901-1920
http://www.wikidata.org/entity/Q5719089,Henry Cadbury,1883,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,research university | private university | Colonial Colleges | private not-for-profit educational institution,1851-1900
http://www.wikidata.org/entity/Q5719089,Henry Cadbury,1883,employment,http://www.wikidata.org/entity/Q995265,Bryn Mawr College,4,private not-for-profit educational institution | cemetery | university | women's college,1851-1900
http://www.wikidata.org/entity/Q574843,Pervez Hoodbhoy,1950,employment,http://www.wikidata.org/entity/Q3695416,Forman Christian College,3,liberal arts college | private university | public university,1941-1960
http://www.wikidata.org/entity/Q574843,Pervez Hoodbhoy,1950,employment,http://www.wikidata.org/entity/Q2047109,Quaid-i-Azam University,1,public research university,1941-1960
http://www.wikidata.org/entity/Q574843,Pervez Hoodbhoy,1950,employment,http://www.wikidata.org/entity/Q219563,University of Washington,1,public university,1941-1960
http://www.wikidata.org/entity/Q574843,Pervez Hoodbhoy,1950,employment,http://www.wikidata.org/entity/Q13139758,Lahore University of Management Sciences,1,university,1941-1960
